abbrev,Ortsteil,Adlershof,Altglienicke,Alt-Hohenschönhausen,Alt-Treptow,Baumschulenweg,Biesdorf,Blankenburg,Blankenfelde,Bohnsdorf,Borsigwalde,Britz,Buch,Buckow,Charlottenburg,Charlottenburg-Nord,Dahlem,Falkenberg,Falkenhagener Feld,Fennpfuhl,Französisch Buchholz,Friedenau,Friedrichsfelde,Friedrichshagen,Friedrichshain,Frohnau,Gatow,Gesundbrunnen,Gropiusstadt,Grünau,Grunewald,Hakenfelde,Halensee,Hansaviertel,Haselhorst,Heiligensee,Heinersdorf,Hellersdorf,Hermsdorf,Johannisthal,Karlshorst,Karow,Kaulsdorf,Kladow,Konradshöhe,Köpenick,Kreuzberg,Lankwitz,Lichtenberg,Lichtenrade,Lichterfelde,Lübars,Mahlsdorf,Malchow,Mariendorf,Marienfelde,Märkisches Viertel,Marzahn,Mitte,Moabit,Müggelheim,Neu-Hohenschönhausen,Neukölln,Niederschöneweide,Niederschönhausen,Nikolassee,Oberschöneweide,Pankow,Plänterwald,Prenzlauer Berg,Rahnsdorf,Reinickendorf,Rosenthal,Rudow,Rummelsburg,Schmargendorf,Schmöckwitz,Schöneberg,Siemensstadt,Spandau,Staaken,Stadtrandsiedlung Malchow,Steglitz,Tegel,Tempelhof,Tiergarten,Waidmannslust,Wannsee,Wartenberg,Wedding,Weißensee,Westend,Wilhelmsruh,Wilhelmstadt,Wilmersdorf,Wittenau,Zehlendorf
Neu-Ho,Neu-Hohenschönhausen,0,1,25,1,0,1,1,0,0,0,1,1,1,5,0,0,0,0,5,4,2,5,2,11,0,0,5,0,0,1,0,1,0,0,0,4,5,0,1,0,0,0,0,0,1,0,1,2,1,0,0,2,0,0,1,1,9,11,7,0,NA,2,0,4,0,0,3,0,17,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,1,0,0,0,4,25,0,0,0,1,0,0
Neuköl,Neukölln,4,0,4,20,2,1,0,0,3,0,27,0,11,14,2,2,0,0,2,0,5,0,0,34,0,0,6,12,0,3,0,0,1,0,0,0,10,0,0,1,2,0,2,0,4,150,4,2,9,7,0,0,0,9,1,1,0,22,14,0,2,NA,1,3,0,4,2,0,24,0,7,0,16,2,1,0,33,1,5,3,0,5,2,15,5,1,1,0,10,0,4,0,1,13,3,4
Niede1,Niederschöneweide,6,1,0,0,4,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,5,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,13,NA,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Niede2,Niederschönhausen,0,1,6,1,0,4,1,3,6,1,2,3,1,4,0,0,0,0,2,19,1,3,0,10,1,0,8,0,0,1,0,0,0,0,0,4,10,3,1,0,7,2,0,0,3,13,2,6,0,3,0,2,0,2,1,7,0,28,15,0,4,3,0,NA,1,6,83,1,46,2,20,10,1,1,1,1,6,0,2,0,0,0,1,0,1,2,0,0,0,8,2,14,2,13,1,12
Nikola,Nikolassee,3,1,0,0,0,0,0,0,0,0,2,0,1,7,1,8,0,0,0,0,4,0,0,3,2,0,1,1,0,6,0,1,0,0,1,0,1,0,0,0,0,0,2,2,1,9,6,2,1,27,0,0,0,2,0,0,0,4,8,0,0,3,0,0,NA,0,0,0,0,0,2,0,0,0,4,1,4,0,2,0,0,15,4,4,1,0,10,0,4,0,5,2,1,26,1,65
Obersc,Oberschöneweide,2,2,1,3,1,0,0,0,0,0,0,0,0,6,1,0,0,1,2,0,0,3,2,11,0,0,0,0,1,3,0,0,0,0,0,0,3,2,3,4,1,1,0,0,5,3,3,2,2,6,0,0,0,2,0,0,1,3,2,0,1,16,2,0,0,NA,1,1,8,4,2,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,1,0,0
Pankow,Pankow,0,2,1,0,0,4,6,0,4,0,2,5,0,11,3,3,0,0,0,16,1,2,2,21,2,0,15,0,1,6,0,1,0,0,0,1,6,3,1,2,5,0,0,0,1,6,8,5,0,2,0,6,0,1,2,5,13,29,8,0,3,4,0,33,2,0,NA,0,122,2,9,11,0,6,3,1,4,0,5,0,0,17,0,4,0,0,2,1,9,22,3,6,2,9,1,13
Plänte,Plänterwald,1,1,0,5,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,0,1,0,1,0,0,0,1,0,0,2,1,2,0,0,2,0,1,0,1,0,NA,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1
Prenzl,Prenzlauer Berg,4,1,9,3,2,3,2,0,0,0,3,0,1,31,0,0,0,1,8,2,6,2,0,94,3,1,21,1,0,5,0,5,1,0,0,0,20,4,2,2,3,0,0,0,3,42,0,11,5,11,0,4,0,3,0,0,6,145,30,0,12,22,2,16,2,8,37,1,NA,0,5,2,0,4,1,1,32,1,14,0,0,9,4,3,4,0,5,0,18,28,3,0,11,19,1,3
Rahnsd,Rahnsdorf,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,2,5,16,5,0,0,2,0,0,0,2,0,0,0,0,0,0,0,3,2,1,0,0,0,11,2,0,0,0,2,0,1,1,0,0,0,3,20,5,1,2,4,0,0,0,3,2,0,1,NA,1,0,0,0,1,0,1,0,0,0,0,2,1,2,0,0,0,0,1,0,1,0,2,4,0,0
Reinic,Reinickendorf,0,0,5,0,1,0,0,0,0,8,4,1,1,16,1,0,0,5,0,2,2,0,4,1,8,0,55,3,0,0,1,0,5,2,6,1,0,11,0,2,1,1,0,1,2,7,3,2,2,12,3,0,0,2,1,30,0,14,35,0,1,18,0,10,3,0,4,1,8,2,NA,5,0,0,0,0,6,5,4,8,0,5,26,6,2,7,2,0,65,2,0,4,6,4,17,5
Rosent,Rosenthal,0,0,1,0,1,0,0,1,2,0,0,0,1,1,2,0,0,0,0,8,2,0,0,2,1,0,1,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,7,1,1,1,0,1,0,0,1,0,6,0,10,5,0,0,1,0,15,0,1,3,0,5,0,5,NA,0,2,1,0,8,0,0,0,0,0,3,2,0,1,0,0,1,2,5,10,0,3,3,1
Rudow,Rudow,1,4,0,0,2,5,0,0,0,0,24,0,18,6,1,0,0,0,0,0,4,0,0,3,0,0,3,19,0,1,1,0,0,1,0,0,0,1,6,0,0,0,0,0,0,14,4,0,8,6,1,2,0,8,4,5,2,26,1,1,0,60,1,0,1,2,1,1,0,0,3,0,NA,0,2,0,7,2,0,1,0,2,1,8,0,0,1,0,3,0,5,0,2,6,0,2
Rummel,Rummelsburg,1,2,1,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,18,1,32,0,0,1,0,0,2,0,0,1,0,0,0,2,0,2,4,0,1,0,0,0,5,0,8,0,3,0,0,0,0,0,0,6,8,0,0,1,4,2,0,0,1,1,1,13,0,2,0,0,NA,0,0,6,0,0,0,0,4,0,1,0,1,0,0,1,0,0,4,0,2,1,0
Schmar,Schmargendorf,0,0,0,1,0,0,0,0,0,0,4,0,0,32,3,12,0,1,0,1,8,0,0,2,0,1,2,1,0,27,2,8,1,1,1,0,3,0,0,1,0,0,0,0,0,5,1,0,5,10,0,0,0,2,2,0,0,2,7,0,4,6,0,0,2,0,8,0,2,0,2,0,2,0,NA,0,16,1,5,2,0,17,2,4,4,0,2,0,4,0,14,1,5,69,0,13
Schmöc,Schmöckwitz,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Schöne,Schöneberg,0,2,2,2,0,3,1,0,0,1,2,0,3,77,2,6,0,3,0,2,66,2,0,20,9,0,10,4,0,5,4,5,4,3,0,2,15,3,0,1,1,0,0,0,3,94,14,3,10,34,0,0,0,18,5,1,3,20,30,0,1,51,0,2,4,2,10,0,33,2,5,15,1,3,10,1,NA,1,4,1,0,48,1,38,32,0,5,0,18,2,19,8,4,114,5,31
Siemen,Siemensstadt,0,1,1,0,0,0,0,0,0,1,1,0,0,13,11,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,6,1,0,6,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,4,1,0,0,0,0,1,0,0,3,0,0,2,0,1,0,0,1,0,0,0,4,0,0,0,0,0,2,NA,3,1,0,3,3,0,0,1,0,1,2,0,5,0,4,1,0,1
Spanda,Spandau,1,2,4,0,0,0,0,2,0,0,3,0,0,13,1,0,0,33,0,1,1,0,0,2,2,2,4,0,0,0,18,0,1,4,0,0,0,0,0,1,0,0,1,0,2,9,5,0,4,7,0,0,0,1,2,1,3,6,8,0,1,3,0,1,3,2,4,2,14,0,9,4,3,0,0,0,7,5,NA,18,0,6,4,0,2,0,2,0,2,0,9,0,37,3,0,3
Staake,Staaken,0,1,0,0,0,0,0,0,0,0,1,0,1,16,5,0,0,33,0,0,1,0,0,0,0,4,5,2,0,1,23,1,1,6,0,0,0,0,0,0,0,0,3,0,0,1,1,0,2,3,1,2,0,3,0,5,1,35,8,0,0,4,0,0,0,0,1,0,4,0,5,1,0,0,1,0,3,4,24,NA,0,9,1,1,0,0,0,1,2,3,12,0,52,7,1,7
Stadtr,Stadtrandsiedlung Malchow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
